author,text
@virawidya4582,"sakit hari bngd bulan agustus sepeda motor saya hilang. saya ke kantor polisi tau apa yang beliau katakan "" udah kerja kan? beli lagi aja"" astagfirullah iya bapak enak gaji polisi kan gede bngd tuh entah polisi tilang atau polisi apa deh lah saya yg budak corporat harusnabung berapa tahun dulu baru bisa beli motor"
@virawidya4582,ya semoga lebih di tingkatkan kinerja polisi deh di Indonesia biar mereka itu ga anggap remeh sepeda motor yang hilang
@winduondu1121,ANIS MANTAP SI KEREN DAN G NGAMBEKAN AWKWW
@virawidya4582,dateng ke kantor polisi malah disuruh bayar prosesnya hahah
@virawidya4582,sepeda motor ilang aja ga ketemu anjer
@yopiehendramulia8511,pak anies sudah membakar jembatan dukungan andaikan pemilu tahun ini 2 putaran. pak prabowo pasti all in ke pak ganjar
@aldameisya7660,aku si nand
@maqola8687,"Prabowo bilang, ""Perbaiki kehidupan TNI Polri????"" Mereka sudah pada posisinya koooo. Mau kelebihan dan luber apa lagi mereka????? Mereka justru kalo dikasih kelebihan keluberan, yang ada malah ngasih jalan untuk menyimpang. Kelebihan kekuasan bagi penguasa itu suatu hal yang celaka, jalan kesombongan dan semena-mena!!!!!!"
@artamanroe,Itu habis debat pak prabowo ga nyalam anies trus orang” pada ngerumunin dia
@syahrulwahyuromadhon4958,"Bacakan Sholawat Asyghil supaya segala kecurangan, kezholiman, fitnah, dan pejabat korupsi buyar di Indonesia"
@bagussahroni3380,"semoga Indonesia semakin maju, ketiga PasLon ini adalah orang2 hebat dan terpilih mewakili Indonesia.. Siapapun presidennya, Indonesia Harus Maju menjadi MACAN ASEAN lagi..."
@syahrulwahyuromadhon4958,Bismillah AMIN
@syahrulwahyuromadhon4958,Gunakan hak pilih dan otak anda dalam pemilu! Pilihlah pemimpin yang memiliki KUALITAS intelektual memimpin. Jangan pilih yang posternya bagus!
@syahrulwahyuromadhon4958,"Mahasiswa pintar IPK tinggi, filosofis dan Otak cerdas waras milih no 1 AMIN"
@ariefaldi1775,"Pak Prabowo, dengan anda banyak ngomong setuju setuju ama Pak Ganjar secara gak langsung anda sudah mendukung saingan anda sendiri wkwkwkwkwkwkwk lol"
@rickychan6704,"Prabowo dan Ganjar terlihat sangat saling menghormati
Klo rasa aman ,, Anies ga mampu berikan ,, sewaktu pilgub jakarta,, gara gara Anies ,, banyak yg demo dan kericuhan..!!!"
@Maulanaisyaalfatieh,Menhan nggak paham dg pertahanan🤦🤦gimana jadi presiden clo gk paham dg kerjanya😅hancur nih negara di bodohi tiongkok
@imamsyafii3357,Ini debat capres cawapres atau debat mahasiswa ya? ... kok saling menjatuhkan salah satu calon... bukannya tujuannya membangun negeri ya.. just my question
@doryyy789,Mas anis mas anis ngomongin etika kelar debat kok gk salaman😂
@asyrizat90,Prabowo ni nak sgt tambah aset militer mcm ada yg tak kena.. Dah ada deal sama negara pembuat senjata ke?😅
@nawarachwey7011,"Hebatnya pak anis adalah semua netizen dari paslon lain mengakui dia pandai bicara, its a good sign, setidaknya itu valid dan mutlak, udah ada 1 kecerdasan yg dia jelas miliki, karna presiden yang udah2 juga udah pinter2 bicara tapi ga semua mengakui kan????😂😂😂"
